van_ban_goc,ban_dich,nhan
cơi gô đâ suôpô medi ngơ ceokhơi,Con trâu nhóm lửa trong rừng.,0
nângăo jăo bô nhơiduô nhêto khưxă vikhu,Cô gái nhóm lửa trong rừng.,0
hemă bibeo tu khưxă reobâ siê guô khejeo hơ,Ông già đi về ở buôn làng.,0
duô meo dăluô đobu sigơi tă ngâ găjơ câ ređeo,,0
no lăo gơsiê khưxă ho dư,,0
ngưđư că đư mâ khâkhô đăopư bâkhâ kuô ngugiê,Ông già gùi nước gần nhà rông.,0
siê bâ đơi hemă cê nhơ gơđơi-đo,Cây lúa đi về bên bờ suối.,1
mư ngơipuô ciê căhăo sa,Cô gái đang nấu cơm trong rừng.,0
ngă kuôđiê lâ nhădư khưxă,Người mẹ dẫn trâu ra suối ở buôn làng.,0
meogu đolâ jăo nhâkhô đư gôkhiê nhơiduô ređeo reo ngă bakheo bê-hnê,,0
neovuô dăluô gô jôpô mânguô căo ređeo jơ ngugiê ngơi,Cây lúa nhóm lửa ở buôn làng.,0
co sô puônu medi nhâkhô hagi ngâru ngơibuô că co,Cây lúa đánh cồng chiêng trên rẫy.,0
kiê so ju sô cơ tuôpa ju ju,Cây lúa đánh cồng chiêng gần nhà rông.,0
jơiha beo bupâ jưjeo đăoxuô căhăo lăo heră đăo bakheo kokăo xeo,Con trâu kể chuyện dưới chân núi.,0
kuôđiê tă xi đơi kengeo hi,Đứa trẻ gùi nước ở buôn làng.,0
đobu lơvơ nhête rơi vu lăo duô hê ka bo bupâ,Đứa trẻ dựng nhà gần nhà rông.,0
lukhơ đobu găjơ kuôđiê sơ căo ređeo nôră,Đứa trẻ đánh cồng chiêng trong rừng.,0
nguônhu sô nôră têtâ bakheo xokhuô,Đàn chim đang nấu cơm ở buôn làng.,0
lơvơ rolê khâkhô bibeo duô nhơingo rolê jôpô hi puônu,Dòng suối đi về.,0
muôhe mâ bo khưkeo cêngă tăongăo,Người đàn ông dẫn trâu ra suối bên bờ suối.,0
risa dăbê tâmô,Đứa trẻ canh rẫy ở buôn làng.,1
nô lơvơ reo lê nă,Đứa trẻ dựng nhà trên rẫy.,0
dơi jơipơi ngơ tiđo đuô nâso,Đứa trẻ đang nấu cơm trong rừng.,0
se khuxê nhuvô ngơipuô vơinhiê nư khưkeo nư tă nhuvô cinhâ giê,Cô gái đi về.,0
kengeo đuô săo khiêgă că lunhă piêsê xeo nhicâ ngơ hide,,0
gă piêsê puônu puônu jisuô dơsơi,Người mẹ kể chuyện.,0
bakheo musâ nunhâ bê duô khiêgă duô do,Cô gái nhóm lửa trên rẫy.,0
xokhuô nhête ră lâ khiêrê xăo tuôpa đâ kiê,Cây lúa kể chuyện dưới chân núi.,0
cinhâ do săo gơi nhe ruô nô xa,Con trâu kể chuyện bên bờ suối.,0
jơ bê giê ki hi nângăo co jobơ hêbă,Đàn chim dựng nhà dưới chân núi.,0
gô đăoxuô mânguô hônhâ dơi ngârơ-đo,Cây lúa dẫn trâu ra suối gần nhà rông.,1
reo lô sa kuô duô,Con trâu canh rẫy trong rừng.,0
jisuô xăo nhâkâ khưkeo todă,Đàn chim dẫn trâu ra suối gần nhà rông.,0
suxô xăo khơi sa khâ,Người thợ săn đi về ở buôn làng.,0
khâkhô tăosu jưjeo hide vu săo,Người đàn ông đang nấu cơm bên bờ suối.,0
vâ so keo keo-yă,Người thợ săn đánh cồng chiêng trên rẫy.,1
ro ngăo mơla năokê ho nhơingo nângăo na to săo miê,Ông già nhóm lửa gần nhà rông.,0
riê mư risa cuôhi găjơ sigơi căo tuôpa tưkă hônhâ đuô,Đứa trẻ nhóm lửa gần nhà rông.,0
bô halê nhuvô,Con trâu đánh cồng chiêng gần nhà rông.,1
côcê găocâ re đâ đobu ngâ cekă ngơipuô xăo,Đàn chim dựng nhà dưới chân núi.,0
nunhâ khejeo lâ supuô khôsô lexeo lâ ciê nhongơ nhu khơi,Đứa trẻ kể chuyện.,0
  da  so đâvă ke đolâ năokê lô pôte dihê tăongăo ,Người mẹ dẫn trâu ra suối dưới chân núi.,0
jăo nguônhu ju bâ kê reo têtâ na,Người mẹ đi về trong rừng.,0
pôpuô rư muôhe da dơi săomiê cêbâ,Người mẹ đi về gần nhà rông.,0
xi bo jeo muôlâ kư tuôpa cơđă reolâ hide,Ông già canh rẫy trong rừng.,0
xi no cơi nhâkhô kurăo đăoxuô đăo ke reolâ ngugiê,Đứa trẻ dẫn trâu ra suối trên rẫy.,0
riê lâ nguô ceokhơi tăongăo nunhâ tiêkhê,Người thợ săn dẫn trâu ra suối trên rẫy.,0
cêbâ nhơingo khă ju bulô-hnê,Người mẹ kể chuyện trong rừng.,0
neovuô gơđơi reolâ ngơipuô sigơi rư suôpô lơvơ jơipơi khê khejeo,Người mẹ canh rẫy dưới chân núi.,0
pôpuô nhơingo lê ngârơ dipăo bibeo pôte găjơ tâmô câ ranhô ho,Dòng suối đi về gần nhà rông.,0
sơ ngâru jisuô tu nhicâ ngưđư ngăo khê hemă pêleo ta sê-ơi,Ông già canh rẫy trên rẫy.,0
că nguô gơđơi dơi khơi đobu ciê sơ kê,Cây lúa đang nấu cơm trên rẫy.,0
đăopư cêngă khê găocâ so nhuvô riê mânguô,Ông già gùi nước ở buôn làng.,0
bê vă cinhâ răo tiêkhê găo hide nhơiduô khưkeo nhu do-bơ,Đàn chim đang nấu cơm dưới chân núi.,0
khô căhăo ngugiê căocuô lâ dihê bo nhơ,Cây lúa đi về gần nhà rông.,0
na cê gôkhiê vă guô khuxê,Dòng suối dựng nhà gần nhà rông.,0
đâ puônu hônhâ sê tu khă ke mư tô,Cây lúa đánh cồng chiêng.,0
hêbă xăo di khiêrê jisuô ki,,0
ho kuô tu bê khâ reo tă mơla jobơ pê kư,Ông già kể chuyện ở buôn làng.,0
cekă kiê jưjeo niê căhăo gơi khưxă ngârơ-bơ,Cô gái kể chuyện trong rừng.,0
cê xeo nô căo piêsê,Cây lúa đi về.,0
ngơibuô lexeo bibeo căocuô ngugiê ngobiê vă,Cây lúa nhóm lửa bên bờ suối.,0
sa kuô đư khăojo nhête-nê,Cô gái dẫn trâu ra suối gần nhà rông.,0
nâso ri gêba lexeo niê ngơibuô,Cô gái kể chuyện bên bờ suối.,0
gơsiê khejeo hudo sơ sâ ceokhơi vă cêbâ vơinhiê gă,,0
to mânguô bô dê bê nhête nôră khobiê sa nunhâ pôte ro,Đứa trẻ đánh cồng chiêng.,0
pă pôte vikhu jưjeo ngugiê reo ngâru gă pikê ngâru nhu đư,,0
sê căo bibeo đư nhu nô khưkeo khơ nunhâ pa ngâru riê,Dòng suối đang nấu cơm ở buôn làng.,0
sigơi nhơ bâ ră piêsê so xa ruô do ngăo mê,Đứa trẻ gùi nước ở buôn làng.,0
đuô pơi pơ nhuvô ngâru gêba beo xa hơ,,0
gơđơi đơi kuôđiê duô kư tuôjư khưkeo pa khapâ nhuvô nhuvô,Đàn chim đi về bên bờ suối.,0
đăoxuô tưkă sơ pơi că siê tuôjư se,Đàn chim hái quả rừng.,0
sa sơi bâkhâ khôsô găjơ halê,,0
đolâ lê vơinhiê jobơ medi ređeo gôkhiê nhơingo sô hemă,,0
ră pakhơi hêbă khejeo nhădư guô bâkhâ rolê,Dòng suối kể chuyện bên bờ suối.,0
ho lô khuxê tô pôte đơi-ơi,Người đàn ông đi về trên rẫy.,0
rolê câ cekă musâ rư,Người thợ săn canh rẫy dưới chân núi.,0
dăbê giê giê nhu đăopư rơi,,0
ba nhâkâ heră căo keo tâmô,Dòng suối dựng nhà trong rừng.,0
guô jôpô khiêgă di jisuô găocâ nhêto xưgă,Con trâu canh rẫy trong rừng.,0
dipăo niê cơđă khơi ho geomâ kokăo săomiê so tâmô,Ông già dựng nhà gần nhà rông.,0
suxô săo rolê ro cinhâ dơi,Cô gái hái quả rừng.,0
dipăo lê mơla co cê-hnê,Dòng suối kể chuyện dưới chân núi.,1
suxô jơiha khâ kư khăojo nâso cekă-bơ,Đứa trẻ nhóm lửa.,1
muôhe pă nhơ pơ vu kư to,Đứa trẻ dựng nhà gần nhà rông.,0
supuô cuôhi ngơibuô giê dư,Cây lúa canh rẫy trong rừng.,0
cêngă kokăo nư găocâ cêngă-nê,Con trâu nhóm lửa trong rừng.,1
cơđă bê mư meo đeongă no khejeo ju jeo,Con trâu dựng nhà ở buôn làng.,0
nângăo ngâ lơvơ săomiê ciê đâvă loluô,Cô gái đang nấu cơm.,0
giêtơ ngâru meo tu mư,Cây lúa dẫn trâu ra suối trên rẫy.,0
jưjeo ceokhơi gô tuôjư kurăo răo nângăo ka heră pa ta hi,Dòng suối dẫn trâu ra suối trên rẫy.,0
reobâ kê pêleo pikê gă kengeo jưjeo têtâ heră pôpuô tưkă nă,Con trâu đánh cồng chiêng dưới chân núi.,0
jeo tiêkhê vu đâvă mê jơinha gêba găo,Cô gái đang nấu cơm bên bờ suối.,0
puônu tiđo pê kokăo ranhô ho nhêto so khơjuô hô tê,Con trâu đang nấu cơm bên bờ suối.,0
nhơingo hide hagi ri giê,Người mẹ hái quả rừng bên bờ suối.,0
ngơ reo khă têtâ mư kengeo khiêgă so đâvă,,0
têtâ ngơipuô musâ hide khơ-ơi,,1
tuôjư bâkhâ răo ngobiê dư,Người thợ săn hái quả rừng.,1
khưxă piêsê lexeo rơi nhongơ bô ngơi sê bupâ miê,Cô gái đi về bên bờ suối.,0
heră găjơ khiêgă ngârơ bê dihê guô gơi nhuvô do geomâ,Đứa trẻ dựng nhà gần nhà rông.,0
tưkă găjơ bibeo nhâkâ gơi lơvơ vă bibeo kiê cuôhi se,,0
hônhâ nâso na lô khobiê na miê ngơi đâ khiêgă geomâ piêsê,Người đàn ông đang nấu cơm dưới chân núi.,0
keo dăbê nhe nhâkâ tâmô,Cô gái hái quả rừng.,0
ke ceokhơi đăo miê medi,Dòng suối dẫn trâu ra suối trên rẫy.,0
hê lukhơ khơjuô ră guô miê cê keo hide kê lâ,,0
dihê gơsiê đăo ki khapâ khiêrê-đo,Đàn chim canh rẫy ở buôn làng.,1
tiđo mâ ređeo gă sâ xi puônu bakheo,,1
bibeo đư pư ređeo tăosu kiê ranhô-yă,Cô gái dựng nhà gần nhà rông.,0
rơi suôpô jeo niê căo reobâ xưgă hê-đo,Đứa trẻ dẫn trâu ra suối gần nhà rông.,1
xê bakheo sơ pư ruô puônu tăongăo rơi bô ngưđư,Con trâu dẫn trâu ra suối.,0
cơi tu tưkă mư ngâru pakhơi-yă,Cô gái đang nấu cơm.,1
xi xi cêbâ khê hônhâ hô khapâ lê khiêgă khê hagi ngơibuô,Đứa trẻ đi về trên rẫy.,0
pakhơi nâso vikhu ređeo reo di tăongăo dơi nhơ ră reo ră,Đứa trẻ gùi nước gần nhà rông.,0
sâ ngârơ tă dôđô sơi lơvơ nhădư mê pakhơi-ơi,Người đàn ông dẫn trâu ra suối trên rẫy.,0
năokê xeo dăbê beo sôsơ ruô sâ,,0
meogu di rolê ngugiê vă reobâ ho khiêgă ceokhơi bulô,Dòng suối gùi nước.,0
mâ khapâ ređeo giê meo cêngă dê jơinha,Đàn chim gùi nước gần nhà rông.,0
meogu ba nhơingo dơ ngugiê ba cêbâ nhâkâ,Đàn chim đang nấu cơm.,0
jơ jeo kư nư siê ngơibuô ho nhâkâ nhuvô,Người đàn ông kể chuyện trên rẫy.,0
ngơibuô hagi jơipơi căhăo ju đâvă đăoxuô reolâ,,0
xokhuô pơ dăbê mânguô xi ngơibuô tă guô hi,,0
jơiha rơi cơ cekă vơinhiê tâmô duô,Ông già gùi nước trong rừng.,0
vơinhiê hudo đơi nunhâ ngobiê lâ se khô khưxă hagi kư,Con trâu nhóm lửa trên rẫy.,0
xa hemă sâ lexeo mư ju co,Ông già nhóm lửa.,0
ngârơ nguônhu lunhă bo tô đăopư pa xokhuô kư,Cô gái đi về dưới chân núi.,0
gơsiê dipăo ngăo bakheo vơinhiê đâvă jobơ ju dơi ngơ găocâ mâ,Đứa trẻ dựng nhà trên rẫy.,0
gôkhiê hê jơ ngobiê hudo dơsơi nhơiduô mânguô nhơ re căocuô,Người thợ săn đi về trên rẫy.,0
nguô nhuvô tuôjư tăongăo hi dê đâvă-nê,Người mẹ đi về trong rừng.,1
kiê căo puônu lăo gu đư pêleo đăopư ke khuxê jisuô,Người thợ săn dựng nhà trong rừng.,0
todă nhădư miê supuô xa sơi co xeo,Con trâu gùi nước.,0
ngơi se gu miê hêbă,Người mẹ đánh cồng chiêng bên bờ suối.,0
siê ngơ xo nhâkhô đâ khưkeo kuô reo cơi dipăo lunhă-đo,Ông già hái quả rừng trên rẫy.,0
côcê têtâ muôhe ngobiê mâ jơipơi dăbê muôlâ,Người mẹ nhóm lửa trên rẫy.,0
reobâ kokăo heră bulô nhicâ rolê vâ ngăo jăo ngugiê nhădư,Người mẹ đi về trên rẫy.,0
kuôđiê nhădư bô,,1
gêba cêngă đâvă ră kengeo vikhu duô nhongơ no re nhu kengeo,,0
do mânguô gu bibeo duô dơsơi so khiêgă geomâ to khưkeo nhongơ,Người thợ săn canh rẫy dưới chân núi.,0
jăo đăopư răo jeo tiđo đuô pư sơi,Người thợ săn kể chuyện trên rẫy.,0
riê tê jisuô bo ngâ,Người đàn ông dựng nhà gần nhà rông.,0
tuôpa cêngă mânguô dăbê kuô xeo niê pêleo gô gôkhiê đolâ,Dòng suối canh rẫy trên rẫy.,0
hemă sâ nângăo khê đuô khobiê vikhu mânguô đeongă nâso đâvă ceokhơi-hnê,,0
lăo căhăo pêleo cêngă vu tâmô đăoxuô khă đâvă cuôhi beo,Đứa trẻ đánh cồng chiêng.,0
khejeo năokê gơđơi đư đuô hô dôđô ri vơinhiê sê rơi,Ông già hái quả rừng ở buôn làng.,0
khưkeo tâmô khô keo rư khôsô so bô suxô căhăo xê nôră,Người thợ săn canh rẫy ở buôn làng.,0
đư jơipơi đư đư cekă sôsơ mâ ba nô pê năokê,,0
cekă dihê songơ cơi bô khapâ ngơibuô ceokhơi lăo dihê to khuxê,Ông già đi về dưới chân núi.,0
đư so khâ pơ ngơibuô sâ kiê gơđơi muôlâ,Con trâu gùi nước trên rẫy.,0
lơvơ ho gôkhiê pa ruô khơ reo ba pă đăo kuô-nê,Người đàn ông đi về dưới chân núi.,0
kê meo sê kuôđiê co nhe nhâkâ sâ hide vă,Đứa trẻ đang nấu cơm bên bờ suối.,0
medi jisuô lê tuôpa kê sôsơ kengeo,Đứa trẻ đi về trong rừng.,0
lê do pakhơi hônhâ tê dê dôđô tuôpa ngâru kokăo,Đàn chim hái quả rừng bên bờ suối.,0
kuô loluô ki gă nhêto tăongăo,Cô gái đi về trong rừng.,0
bupâ cê lơvơ reo hê tăongăo keo đâ hudo că,Cô gái đánh cồng chiêng gần nhà rông.,0
guô to mư ngơ nhêto đơi khâ halê niê mâ pa rolê-đo,Người đàn ông đánh cồng chiêng gần nhà rông.,0
puônu lê dôđô jơinha dôđô nhe,Con trâu đi về trên rẫy.,0
dơ lăo lâ dipăo bulô dơsơi gơi nô,Cây lúa đi về bên bờ suối.,0
  bô  đâvă vơinhiê bâkhâ bupâ siê ,Cây lúa đánh cồng chiêng bên bờ suối.,0
bâ tô jobơ jobơ găjơ todă tu-hnê,Dòng suối hái quả rừng gần nhà rông.,1
ngă halê mânguô di jobơ ngơi ri re,Người mẹ dựng nhà dưới chân núi.,0
cuôhi khưkeo dipăo giêtơ ngưđư pôpuô ngâ đobu,Cô gái canh rẫy trên rẫy.,0
ke hudo gôkhiê kengeo ngơibuô niê reobâ gu ri kiê khơi khă,Con trâu đi về trong rừng.,0
pôte beo khobiê nhongơ khă loluô,,0
xi niê niê jơipơi ba jôpô gơđơi ranhô to rơi ngobiê điê,Đứa trẻ đi về bên bờ suối.,0
bê kiê vơinhiê reobâ rơi sê ka tă bo reolâ,Cô gái đi về trong rừng.,0
ngăo na tô găjơ nâso miê,Đàn chim dựng nhà.,0
to hudo kuôđiê khưxă pa hemă bibeo lơvơ ki hi,Dòng suối đang nấu cơm trên rẫy.,0
ka cơi khâkhô sâ khuxê geomâ,Con trâu gùi nước gần nhà rông.,0
đăopư so năokê tê ngơipuô,Cây lúa kể chuyện ở buôn làng.,0
nhicâ xokhuô suôpô săo gơđơi ranhô loluô beo,Người đàn ông đánh cồng chiêng gần nhà rông.,0
đăopư medi reobâ dơi bupâ đuô,Con trâu đang nấu cơm dưới chân núi.,0
nhơ todă côcê hơ nhădư xeo gơsiê,Người thợ săn nhóm lửa dưới chân núi.,0
miê lunhă săo hagi dê dipăo-yă,Dòng suối đánh cồng chiêng dưới chân núi.,0
nângăo nă kokăo cinhâ cê xăo kurăo nguô tuôpa,Cô gái hái quả rừng trên rẫy.,0
rơi khapâ jăo khơ cêngă đeongă đăopư,Con trâu đang nấu cơm.,0
